# Comment out rows with a hash
tesco,san pellegrino,254485998
morrisons,san pellegrino,san-pellegrino-sparkling-natural-mineral-water-215922011
waitrose,san pellegrino,san-pellegrino-sparkling-natural-mineral-water/069832-35400-35401
sainsburys,blueberry wheats,sainsburys-wholegrain-blueberry-wheats-500g
asda,blueberry wheats,wheat-biscuits-mini-wheats/kelloggs-wheats-blueberry-cereal/1000330943200
tesco,blueberry wheats,309786149
morrisons,blueberry wheats,kellogg-s-blueberry-wheats-569044011
waitrose,blueberry wheats,essential-blueberry-wheats/412042-437580-437581
sainsburys,doritos cheesy,doritos-tangy-cheese-corn-chips-225g
asda,doritos cheesy,910002962553
tesco,doritos cheesy,296049236
morrisons,doritos cheesy,doritos-tangy-cheese-sharing-tortilla-chips-365869011
waitrose,doritos cheesy,doritos-tangy-cheese/822298-307234-307235
sainsburys,ncg classic chicken soup,new-covent-garden-our-best-chicken-soup-600g
asda,ncg classic chicken soup,new-covent-garden-classic-chicken-soup/1000247888800
tesco,ncg classic chicken soup,307739699
morrisons,ncg classic chicken soup,covent-garden-clas-chicken-531641011
waitrose,ncg classic chicken soup,new-covent-garden-classic-chicken-soup/057284-28823-28824
#sainsburys,,
#asda,,
#tesco,,
#morrisons,,
#waitrose,,
